Headline_ID,Ticker,Headline,Sentiment_Score,Daily_Return_Pct,Market_Movement
1001,META,"META reports cybersecurity breach, prompting investor selloff.",-0.5108,-2.68,0
1002,NVDA,Analysts raise price target for NVDA following strong demand metrics.,0.8697,3.3,1
1003,AMZN,Analysts raise price target for AMZN following strong demand metrics.,0.3624,0.8,1
1004,MSFT,"Regulatory scrutiny intensifies for MSFT, causing stock slump.",-0.6351,-2.64,0
1005,ETH,Analysts raise price target for ETH following strong demand metrics.,0.5899,1.86,1
1006,NVDA,"NVDA secures major enterprise partnership, expanding market dominance.",0.7054,2.34,1
1007,NVDA,NVDA trades sideways amidst broader market consolidation.,-0.0149,0.02,0
1008,ETH,"ETH launches groundbreaking AI product line, driving analyst upgrades.",0.7605,3.19,1
1009,META,Inflation fears and macro headwinds pressure META valuations lower.,-0.9294,-3.44,0
1010,BTC,Decreased consumer demand hits BTC quarterly profit margins.,-0.638,-1.92,0
1011,AMZN,AMZN announces strategic acquisition to boost AI infrastructure.,0.8554,1.25,1
1012,AMZN,Inflation fears and macro headwinds pressure AMZN valuations lower.,-0.7541,-3.47,0
1013,META,Decreased consumer demand hits META quarterly profit margins.,-0.7548,-3.82,0
1014,MSFT,MSFT misses Q3 earnings estimates amid rising operational costs.,-0.7814,-3.31,0
1015,ETH,Institutional investors surge buying in ETH after bullish earnings call.,0.3947,1.85,1
1016,NVDA,"NVDA faces supply chain bottlenecks, lowering annual guidance.",-0.9056,-2.46,0
1017,META,Analyst downgrade for META citing margin compression and slow growth.,-0.4321,-2.72,0
1018,META,"Federal Reserve signals rate cut interest, sparking market rally in META.",0.7496,3.5,1
1019,BTC,Analysts raise price target for BTC following strong demand metrics.,0.6333,2.51,1
1020,AAPL,"AAPL reports cybersecurity breach, prompting investor selloff.",-0.4874,-2.22,0
1021,META,META announces strategic acquisition to boost AI infrastructure.,0.6065,2.19,1
1022,AMZN,Analyst downgrade for AMZN citing margin compression and slow growth.,-0.4055,-1.66,0
1023,META,"META reports cybersecurity breach, prompting investor selloff.",-0.4967,-2.39,0
1024,TSLA,Decreased consumer demand hits TSLA quarterly profit margins.,-0.57,-2.4,0
1025,GOOGL,Analyst downgrade for GOOGL citing margin compression and slow growth.,-0.8381,-2.86,0
1026,META,META schedules upcoming annual shareholder meeting for next month.,-0.0684,0.54,1
1027,ETH,ETH misses Q3 earnings estimates amid rising operational costs.,-0.7671,-2.58,0
1028,MSFT,"Regulatory scrutiny intensifies for MSFT, causing stock slump.",-0.7474,-3.62,0
1029,GOOGL,"Federal Reserve signals rate cut interest, sparking market rally in GOOGL.",0.7718,2.91,1
1030,AMZN,AMZN announces strategic acquisition to boost AI infrastructure.,0.6483,2.21,1
1031,AAPL,"Federal Reserve signals rate cut interest, sparking market rally in AAPL.",0.3721,1.35,1
1032,GOOGL,"Federal Reserve signals rate cut interest, sparking market rally in GOOGL.",0.895,5.1,1
1033,NVDA,NVDA shares plummet following unexpected CEO departure and audit concerns.,-0.6563,-1.38,0
1034,AAPL,Inflation fears and macro headwinds pressure AAPL valuations lower.,-0.6678,-1.74,0
1035,TSLA,"TSLA faces supply chain bottlenecks, lowering annual guidance.",-0.4601,-1.96,0
1036,GOOGL,"GOOGL faces supply chain bottlenecks, lowering annual guidance.",-0.5955,-1.78,0
1037,AMZN,Analysts raise price target for AMZN following strong demand metrics.,0.8357,2.35,1
1038,ETH,Inflation fears and macro headwinds pressure ETH valuations lower.,-0.6393,-2.45,0
1039,BTC,"BTC secures major enterprise partnership, expanding market dominance.",0.7911,2.93,1
1040,NVDA,"Federal Reserve signals rate cut interest, sparking market rally in NVDA.",0.8403,1.79,1
1041,ETH,ETH misses Q3 earnings estimates amid rising operational costs.,-0.8049,-2.61,0
1042,ETH,Analysts raise price target for ETH following strong demand metrics.,0.7856,3.37,1
1043,NVDA,NVDA schedules upcoming annual shareholder meeting for next month.,0.0426,0.38,0
1044,TSLA,"TSLA launches groundbreaking AI product line, driving analyst upgrades.",0.6414,1.67,1
1045,NVDA,NVDA misses Q3 earnings estimates amid rising operational costs.,-0.8444,-2.96,0
1046,AMZN,"Federal Reserve signals rate cut interest, sparking market rally in AMZN.",0.8595,2.7,1
1047,AAPL,"Federal Reserve signals rate cut interest, sparking market rally in AAPL.",0.4062,0.33,1
1048,GOOGL,Market analysts maintain neutral rating on GOOGL ahead of earnings.,0.1176,-0.21,1
1049,TSLA,TSLA reports record quarterly revenue exceeding Wall Street expectations.,0.6961,1.31,1
